ID	채널명	매체명	utm_source	utm_medium	URL
ad-001	커리어톡	빅배너	careertalk	big	https://www.careertalk.kr
ad-002	커리어톡	스페셜배너	careertalk	special	https://www.careertalk.kr
ad-003	커리어톡	콘텐츠 단독 배너	careertalk	contents	https://www.careertalk.kr
ad-004	커리어톡	카카오 단독 Push	careertalk	kakaopush	https://www.careertalk.kr
ad-005	커리어톡	카카오톡 캐러셀 Push 메인	careertalk	carousel_main	https://www.careertalk.kr
ad-249	커리어톡	카카오톡 캐러셀 Push 서브	careertalk	carousel_sub	https://www.careertalk.kr
ad-006	커리어톡	MMS 타깃 Push	careertalk	mms	https://www.careertalk.kr
ad-007	커리어톡	커리어톡TV	careertalk	tv	https://www.careertalk.kr
ad-008	커리어톡	페이스북	careertalk	facebook	https://www.careertalk.kr
ad-009	커리어톡	인스타그램 피드	careertalk	insta_feed	https://www.careertalk.kr
ad-250	커리어톡	인스타그램 스토리	careertalk	insta_story	https://www.careertalk.kr
ad-251	커리어톡	포인트	careertalk	point	https://www.careertalk.kr
ad-010	커리어톡	링크드인 피드	careertalk	linkedin	https://www.careertalk.kr
ad-011	스누라이프	PC 메인 A 배너	snulife	pcmaina	https://www.snulife.com/
ad-012	스누라이프	PC 메인 B 배너	snulife	pcmainb	https://www.snulife.com/
ad-013	스누라이프	게시글 배너	snulife	article	https://www.snulife.com/
ad-014	스누라이프	M 게시판 배너	snulife	mboard	https://www.snulife.com/
ad-015	세연넷	PC 메인 배너	seiyon	pcmain	https://www.seiyon.net/
ad-016	세연넷	M 메인 배너	seiyon	mmain	https://www.seiyon.net/
ad-017	노크	PC 메인 배너	knocks	pcmain	https://knocks.co.kr/
ad-018	노크	App 메인 배너	knocks	appmain	https://knocks.co.kr/
ad-019	노크	게시판 배너	knocks	board	https://knocks.co.kr/
ad-020	고파스	PC 메인 배너	koreapas	pcmain	https://www.koreapas.com/
ad-021	고파스	M 메인 배너	koreapas	mmain	https://www.koreapas.com/
ad-022	고파스	PC 게시판 상단 배너	koreapas	pcboard	https://www.koreapas.com/
ad-023	고파스	인스타 홍보 게시글	koreapas	instagram	https://www.koreapas.com/
ad-024	고파스	재학생 게시판 상단 배너	koreapas	board	https://www.koreapas.com/
ad-025	카대전	페이스북 홍보 게시글	kadaejeon	facebook	https://www.facebook.com/KaDaejeon
ad-026	카대전	페이스북 댓글 배너	kadaejeon	reply	https://www.facebook.com/KaDaejeon
ad-027	카대전	톡유 게시판 댓글 배너	kadaejeon	talku	https://www.facebook.com/KaDaejeon
ad-028	포공채널	페이스북 홍보 게시글	pogong	facebook	https://www.facebook.com/postechstu
ad-029	포공채널	POVIS 홍보 게시글	pogong	povis	https://www.facebook.com/postechstu
ad-030	포공채널	카카오톡 메시지	pogong	kakao	https://www.facebook.com/postechstu
ad-031	서담	PC 팝업 배너	seodam	pcpopup	https://www.ssodam.com/
ad-032	서담	M 팝업 배너	seodam	mpopup	https://www.ssodam.com/
ad-033	서담	PC 우측 배너	seodam	pcright	https://www.ssodam.com/
ad-034	서담	M 메인	seodam	mmain	https://www.ssodam.com/
ad-035	서담	M 게시판	seodam	mboard	https://www.ssodam.com/
ad-036	서담	M 게시물	seodam	mpost	https://www.ssodam.com/
ad-037	위한	PC 중앙 배너	weehan	pccenter	https://www.weehan.com
ad-038	위한	PC 롤링 배너	weehan	pcroll	https://www.weehan.com
ad-039	위한	PC 게시판 서브 배너	weehan	pcboard	https://www.weehan.com
ad-040	위한	M 메인 배너	weehan	mmain	https://www.weehan.com
ad-041	이화이언	PC 메인 3-A 좌측 배너	ewhaian	pcmainleft	https://ewhaian.com/
ad-042	카카오톡	비즈보드	kakao	bizboard	https://www.kakaocorp.com
ad-043	링크드인	피드	linkedin	feed	https://linkedin.com
ad-044	자소설닷컴	PC 팝업 배너	jasoseol	pcpopup	https://jasoseol.com
ad-045	자소설닷컴	PC 채용공고 배너	jasoseol	pcrecruit	https://jasoseol.com
ad-046	자소설닷컴	PC 메인 배너	jasoseol	pcmain	https://jasoseol.com
ad-047	자소설닷컴	M 메인 배너	jasoseol	mmain	https://jasoseol.com
ad-048	자소설닷컴	M 팝업 배너	jasoseol	mpopup	https://jasoseol.com
ad-049	자소설닷컴	M 채팅목록 배너	jasoseol	mchat	https://jasoseol.com
ad-050	자소설닷컴	M 텍스트 배너	jasoseol	mtext	https://jasoseol.com
ad-051	자소설닷컴	맞춤공고	jasoseol	fit	https://jasoseol.com
ad-052	자소설닷컴	앱 푸시 메시지	jasoseol	push	https://jasoseol.com
ad-053	사람인	플래티넘 플러스 (PC + M)	saramin	platinumplus	https://saramin.co.kr
ad-054	사람인	프라임 플러스 (PC + M)	saramin	primeplus	https://saramin.co.kr
ad-055	사람인	스페셜 플러스 (PC + M)	saramin	specialplus	https://saramin.co.kr
ad-056	사람인	핫픽 M	saramin	hotpickm	https://saramin.co.kr
ad-057	잡코리아	메인 빅 배너	jobkorea	mainbig	https://www.jobkorea.co.kr/
ad-058	잡코리아	메인 우측	jobkorea	mainright	https://www.jobkorea.co.kr/
ad-059	잡코리아	프리미어 채용관 (PC+M)	jobkorea	premier	https://www.jobkorea.co.kr/
ad-060	잡코리아	First VVIP 채용관 (PC + M)	jobkorea	firstvvip	https://www.jobkorea.co.kr/
ad-061	캐치	AI 매칭 배너	catch	ai	https://catch.co.kr
ad-062	캐치	메인 대형 배너	catch	mainbig	https://catch.co.kr
ad-063	캐치	지금 주목받는 공고	catch	pop	https://catch.co.kr
ad-064	캐치	카테고리 공고	catch	category	https://catch.co.kr
ad-065	캐치	캐치 추천 공고	catch	recommend	https://catch.co.kr
ad-066	캐치	다른 회원이 함께 본 공고	catch	related	https://catch.co.kr
ad-067	네이버	브랜드 검색 광고	naver	brandsearch	https://www.naver.com
ad-068	네이버	치지직 인스트림 15초 SKIP 광고	naver	instreaml	https://www.naver.com
ad-069	네이버	치지직 인스트림 5초 SKIP 광고	naver	instreams	https://www.naver.com
ad-071	인스타그램	스토리	instg	story	https://instagram.com
ad-072	인스타그램	피드	instg	feed	https://instagram.com
ad-073	메타	스토리	meta	story	https://facebook.com
ad-074	메타	피드	meta	feed	https://facebook.com
ad-075	구글	Google Ads 디스플레이 광고	google	cpc	https://www.google.com
ad-076	당근	네이티브 피드 광고	danggeun	feed	https://www.daangn.com
ad-077	당근	검색 광고	danggeun	search	https://www.daangn.com
ad-078	토스	썸네일 배너	toss	thumbnail	https://toss.im/
ad-079	토스	리스트/모먼트 배너	toss	list	https://toss.im/
ad-080	토스	풀페이지 배너	toss	fullpage	https://toss.im/
ad-081	토스	머니 알림	toss	money	https://toss.im/
ad-082	토스	행운 퀴즈	toss	quiz	https://toss.im/
ad-083	토스	이번주 미션	toss	mission	https://toss.im/
ad-084	토스	게시물 보고 포인트 받기	toss	article	https://toss.im/
ad-085	에브리타임	홈배너	everytime	homebanner	https://everytime.kr/
ad-086	에브리타임	홈카드	everytime	homecard	https://everytime.kr/
ad-087	에브리타임	채용 정보	everytime	recruit	https://everytime.kr/
ad-088	에브리타임	커뮤니티 보드	everytime	board	https://everytime.kr/
ad-089	에브리타임	커뮤니티 네이티브	everytime	native	https://everytime.kr/
ad-090	에브리타임	데일리 메시지	everytime	daily	https://everytime.kr/
ad-091	스펙업	메인 TOP 배너	specup	maintop	https://cafe.naver.com/specup
ad-092	스펙업	우측 빅배너	specup	rightbig	https://cafe.naver.com/specup
ad-093	스펙업	우측 띠배너	specup	rightline	https://cafe.naver.com/specup
ad-094	스펙업	스퀘어 빅배너	specup	squarebig	https://cafe.naver.com/specup
ad-095	스펙업	글 양식 배너	specup	article	https://cafe.naver.com/specup
ad-096	스펙업	카카오톡 DM	specup	kakaodm	https://cafe.naver.com/specup
ad-097	링커리어	메인 배너	linkareer	main	https://linkareer.com/
ad-098	링커리어	ALL 커버 배너	linkareer	allcover	https://linkareer.com/
ad-099	링커리어	핫라인 배너	linkareer	hotline	https://linkareer.com/
ad-100	링커리어	추천활동 배너	linkareer	recommend	https://linkareer.com/
ad-101	링커리어	금주의 인기공고 배너	linkareer	popular	https://linkareer.com/
ad-102	링커리어	채용 배너	linkareer	rcrt	https://linkareer.com/
ad-103	링커리어	커뮤니티 배너	linkareer	commbanner	https://linkareer.com/
ad-104	캠퍼스픽	커뮤니티 보드	campuspick	commboard	https://www.campuspick.com/
ad-105	캠퍼스픽	활동 배너	campuspick	actbanner	https://www.campuspick.com/
ad-106	슥삭	1순위 타겟팅	ssgsag	firsttg	https://www.ssgsag.kr/
ad-107	슥삭	오픈팝업	ssgsag	popup	https://www.ssgsag.kr/
ad-108	슥삭	인기배너	ssgsag	popular	https://www.ssgsag.kr/
ad-109	슥삭	최상단배너	ssgsag	top	https://www.ssgsag.kr/
ad-110	슥삭	카테고리 상단배너	ssgsag	category	https://www.ssgsag.kr/
ad-111	아웃캠퍼스	카페 상단 배너	outcampus	top	https://cafe.naver.com/outcampus
ad-112	아웃캠퍼스	카페 상단 우측 배너	outcampus	topright	https://cafe.naver.com/outcampus
ad-113	아웃캠퍼스	카페 메인&서브 배너	outcampus	mainsub	https://cafe.naver.com/outcampus
ad-114	아웃캠퍼스	카페 추천 배너	outcampus	recommend	https://cafe.naver.com/outcampus
ad-115	아웃캠퍼스	유튜브 1분합격자기소개	outcampus	selfintro	https://cafe.naver.com/outcampus
ad-116	아웃캠퍼스	유튜브 합격인사이트	outcampus	insight	https://cafe.naver.com/outcampus
ad-117	아웃캠퍼스	인스타그램 추천리스트 3p	outcampus	threep	https://cafe.naver.com/outcampus
ad-118	아웃캠퍼스	인스타그램 금주의 아캠 pick	outcampus	weekpick	https://cafe.naver.com/outcampus
ad-119	아웃캠퍼스	페이스북 단독 포스팅	outcampus	facebook	https://cafe.naver.com/outcampus
ad-120	요즘것들	페이스북 최상단 배너	allforyoung	top	https://www.allforyoung.com/
ad-121	요즘것들	페이스북 띠배너	allforyoung	line	https://www.allforyoung.com/
ad-122	요즘것들	페이스북 랭킹배너	allforyoung	rank	https://www.allforyoung.com/
ad-123	요즘것들	페이스북 픽배너	allforyoung	pick	https://www.allforyoung.com/
ad-124	요즘것들	페이스북 와이드배너	allforyoung	wide	https://www.allforyoung.com/
ad-125	대티즌	TOP 배너	detizen	top	https://www.detizen.com/
ad-126	대티즌	스페셜 A 배너	detizen	speciala	https://www.detizen.com/
ad-127	대티즌	스페셜 B 배너	detizen	specialb	https://www.detizen.com/
